,greek_id,english_word,sent_id,greek_word,alignments,gloss,100893068`,prompt,sequence,100893067,says
0,100880758,Here,0,ἥδε,,,,,,,
1,100880757,display,0,ἀπόδεξις,,,,,,,
2,100880756,inquiry,0,ἱστορίης,,,,,,,
3,100880754,Herodotus,0,Ἡροδότου,,,,,,,
4,100880755,Halicarnassus,0,Ἁλικαρνησσέος,,,,,,,
5,100880760,so,0,ὡς,,,,,,,
6,100880761,neither,0,μή,,,,,,,
7,100880762,nor,0,-τε,,,,,,,
8,100880763,the,0,τὰ,,,,,,,
9,100880764,deeds,0,γενόμενα,,,,,,,
10,100880765,done,0,ἐξ,,,,,,,
11,100880766,by men,0,ἀνθρώπων,,,,,,,
12,100880767,with,0,τῷ,,,,,,,
13,100880768,the passage,0,χρόνῳ,,,,,,,
14,100880769,of time,0,ἐξίτηλα,,,,,,,
15,100880770,may become forgotten,0,γένηται,,,,,,,
16,100880772,nor,0,μή,,,,,,,
17,100880773,the,0,-τε,,,,,,,
18,100880774,great,0,ἔργα,,,,,,,
19,100880775,and wonderful deeds,0,μεγάλα,,,,,,,
20,100880776,and,0,τε,,,,,,,
21,100880777,and,0,καὶ,,,,,,,
22,100880778,performed,0,θωμαστά,,,,,,,
23,100880780,by,0,τὰ,,,,,,,
24,100880781,some among,0,μὲν,,,,,,,
25,100880782,the Greeks,0,Ἕλλησι,,,,,,,
26,100880783,and by,0,τὰ,,,,,,,
27,100880784,others among,0,δὲ,,,,,,,
28,100880785,the barbarians,0,βαρβάροισι,,,,,,,
29,100880786,may become unrenowned,0,ἀποδεχθέντα,,,,,,,
30,100880788,unrenowned,0,ἀκλεᾶ,,,,,,,
31,100880789,become,0,γένηται,,,,,,,
32,100880791,and,0,τά,,,,,,,
33,100880792,also,0,τε,,,,,,,
34,100880793,the other things,0,ἄλλα,,,,,,,
35,100880794,and,0,καὶ,,,,,,,
36,100880795,for,0,δι’,,,,,,,
37,100880796,what,0,ἣν,,,,,,,
38,100880797,reason,0,αἰτίην,,,,,,,
39,100880798,they fought,0,ἐπολέμησαν,,,,,,,
40,100880799,against one another,0,ἀλλήλοισι,,,,,,,
41,100880804,The,1,οἱ,,,,,,,
42,100880805,learned,1,λόγιοι,,,,,,,
43,100880803,now,1,νυν,,,,,,,
44,100880801,of,1,Περσέων,,,,,,,
45,100880802,the,1,μέν,,,,,,,
46,100880808,say,1,φασὶ,,,,,,,
47,100880806,the,1,Φοίνικας,,,,,,,
48,100880805,men,1,λόγιοι,,,,,,,
49,100880807,cause,1,αἰτίους,,,,,,,
50,100880810,of,1,τῆς,,,,,,,
51,100880811,difference,1,διαφορῆς,,,,,,,
52,100880801,Persians,1,Περσέων,,,,,,,
53,100880814,For,2,γὰρ,,,,,,,
54,100880813,these,2,τούτους,,,,,,,
55,100880820,having come,2,ἀπικομένους,,,,,,,
56,100880815,from,2,ἀπὸ,,,,,,,
57,100880816,the,2,τῆς,,,,,,,
58,100880817,Erythraean,2,Ἐρυθρῆς,,,,,,,
59,100880818,called,2,καλεομένης,,,,,,,
60,100880819,sea,2,θαλάσσης,,,,,,,
61,100880821,to,2,ἐπὶ,,,,,,,
62,100880822,this,2,τήνδε,,,,,,,
63,100880823,sea,2,τὴν,,,,,,,
64,100880826,and,2,καὶ,,,,,,,
65,100880827,having settled,2,οἰκήσαντας,,,,,,,
66,100880828,this,2,τοῦτον,,,,,,,
67,100880829,region,2,τὸν,,,,,,,
68,100880830,region,2,χῶρον,,,,,,,
69,100880832,which,2,καὶ,,,,,,,
70,100880833,they,2,νῦν,,,,,,,
71,100880834,still inhabit,2,οἰκέουσι,,,,,,,
72,100880836,should immediately,2,αὐτίκα,,,,,,,
73,100880839,attack,2,ἐπιθέσθαι,,,,,,,
74,100880837,with,2,ναυτιλίῃσι,,,,,,,
75,100880838,long,2,μακρῇσι,,,,,,,
76,100880841,bringing back,2,ἀπαγινέοντας,,,,,,,
77,100880843,Egyptian,2,φορτία,,,,,,,
78,100880844,cargoes,2,Αἰγύπτιά,,,,,,,
