,greek_id,english_word,sent_id,greek_word,alignments
0,100250832,Muses,1,μοῦσαι,
1,100250833,from Pieria,1,Πιερίηθεν,
2,100250834,songs,1,ἀοιδῇσιν,
3,100250835,famous,1,κλείουσαι,
4,100250839,Sing,1,ἐννέπετε,
5,100250838,Zeus,1,Δί’,
6,100250839,tell,1,ἐννέπετε,
7,100250841,your,1,σφέτερον,
8,100250842,father,1,πατέρ’,
9,100250843,singing,1,ὑμνείουσαι,
10,100250845,as,2,ὅντε,
11,100250846,long,2,διὰ,
12,100250847,men,2,βροτοὶ,
13,100250848,are,2,ἄνδρες,
14,100250849,alike,2,ὁμῶς,
15,100250850,unspeakable,2,ἄφατοί,
16,100250851,and,2,τε,
17,100250852,speakable,2,φατοί,
18,100250853,and,2,τε,
19,100250855,speakable,2,ῥητοί,
20,100250856,and,2,τ’,
21,100250857,unspeakable,2,ἄρρητοί,
22,100250858,and,2,τε,
23,100250859,Zeus,2,Διὸς,
24,100250860,great,2,μεγάλοιο,
25,100250861,will,2,ἕκητι,
26,100250865,For,3,γὰρ,
27,100250866,makes,3,βριάει,
28,100250864,the,3,μὲν,
29,100250870,small,3,βριάοντα,
30,100250871,grow,3,χαλέπτει,
31,100250876,great,3,μινύθει,
32,100250877,and,3,καὶ,
33,100250879,makes,3,ἀέξει,
34,100250875,the,3,ἀρίζηλον,
35,100250883,great,3,τ’,
36,100250878,grow,3,ἄδηλον,
37,100250885,small,3,σκολιὸν,
38,100250887,he,3,ἀγήνορα,
39,100250888,makes,3,κάρφει,
40,100250887,the,3,ἀγήνορα,
41,100250875,glorious,3,ἀρίζηλον,
42,100250876,one,3,μινύθει,
43,100250876,diminish,3,μινύθει,
44,100250887,and,3,ἀγήνορα,
45,100250878,the,3,ἄδηλον,
46,100250878,unknown,3,ἄδηλον,
47,100250879,one,3,ἀέξει,
48,100250879,grow,3,ἀέξει,
49,100250884,and,3,ἰθύνει,
50,100250889,Zeus,3,Ζεὺς,
51,100250890,the,3,ὑψιβρεμέτης,
52,100250890,high-thunderer,3,ὑψιβρεμέτης,
53,100250892,who,3,ὃς,
54,100250895,dwells,3,ναίει,
55,100250894,in,3,δώματα,
56,100250893,the,3,ὑπέρτατα,
57,100250893,highest,3,ὑπέρτατα,
58,100250894,halls,3,δώματα,
59,100250884,straightens,3,ἰθύνει,
60,100250885,the,3,σκολιὸν,
61,100250885,crooked,3,σκολιὸν,
62,100250888,and,3,κάρφει,
63,100250888,breaks,3,κάρφει,
64,100250887,the,3,ἀγήνορα,
