,greek_id,greek_word,gloss,sent_id,gorgias
0,101678700,ὅτι,that,0,
1,101678701,μὲν,indeed,0,
2,101678702,ὑμεῖς,you,0,
3,101678703,",",",",0,
4,101678704,ὦ,O,0,
5,101678705,ἄνδρες,men,0,
6,101678706,Ἀθηναῖοι,Athenians,0,
7,101678707,",",",",0,
8,101678708,πεπόνθατε,you have suffered,0,
9,101678709,ὑπὸ,by,0,
10,101678710,τῶν,of the,0,
11,101678711,ἐμῶν,my,0,
12,101678712,κατηγόρων,accusers,0,
13,101678713,",",",",0,
14,101678714,οὐκ,not,0,
15,101678715,οἶδα,I know,0,
16,101678716,.,.,0,
17,101678717,ἐγὼ,I,1,
18,101678718,δ’,and,1,
19,101678719,οὖν,then,1,
20,101678720,καὶ,also,1,
21,101678721,αὐτός,myself,1,
22,101678722,ὑπ',by,1,
23,101678723,αὐτῶν,them,1,
24,101678724,ὀλίγου,little,1,
25,101678725,ἐμαυτοῦ,myself,1,
26,101678726,ἐπελαθόμην,I forgot,1,
27,101678727,",",",",1,
28,101678728,οὕτω,so,1,
29,101678729,πιθανῶς,persuasively,1,
30,101678730,ἔλεγον,they were saying,1,
31,101678731,.,.,1,
32,101678732,καίτοι,yet,2,
33,101678733,ἀληθές,true,2,
34,101678734,γε,indeed,2,
35,101678735,ὡς,as,2,
36,101678736,ἔπος,word,2,
37,101678737,εἰπεῖν,to say,2,
38,101678738,οὐδὲν,nothing,2,
39,101678739,εἰρήκασιν,have said,2,
40,101678740,.,.,2,
41,101678741,μάλιστα,especially,3,
42,101678742,δὲ,but,3,
43,101678743,αὐτῶν,of them,3,
44,101678744,ἓν,one thing,3,
45,101678745,ἐθαύμασα,I wondered,3,
46,101678746,τῶν,of,3,
47,101678747,πολλῶν,many,3,
48,101678748,ὧν,whom,3,
49,101678749,ἐψεύσαντο,lied,3,
50,101678750,",",",",3,
51,101678751,τοῦτο,this,3,
52,101678752,ἐν,in,3,
53,101678753,ᾧ,in which,3,
54,101678754,ἔλεγον,were saying,3,
55,101678755,ὡς,that,3,
56,101678756,χρῆν,it was necessary,3,
57,101678757,ὑμᾶς,you,3,
58,101678758,εὐλαβεῖσθαι,to be cautious,3,
59,101678759,μὴ,not,3,
60,101678760,ὑπ',by,3,
61,101678761,ἐμοῦ,of me,3,
